"","model","target_end_date","target","season","abs_WIS","log_WIS"
"1","Flusight-baseline",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",7.57610367892977,0.879445909353056
"2","Flusight-baseline",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",6.52774247491639,0.814763012791016
"3","Flusight-baseline",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",8.62560200668896,0.935789415520297
"4","Flusight-baseline",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",11.1531772575251,1.04739860450057
"5","Flusight-baseline",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",23.693754180602,1.37463387839883
"6","Flusight-baseline",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",13.3261454849498,1.1247045502623
"7","Flusight-baseline",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",18.4164297658863,1.26520544110192
"8","Flusight-baseline",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",12.6135953177258,1.10083889340077
"9","Flusight-baseline",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",21.850652173913,1.33946440383755
"10","Flusight-baseline",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",19.2316053511706,1.2840155383235
"11","Flusight-baseline",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",22.1271153846154,1.34492480054273
"12","Flusight-baseline",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",8.94569397993311,0.951614037465121
"13","Flusight-baseline",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",24.6917809364548,1.39255241528556
"14","Flusight-baseline",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",10.1661371237458,1.00715596329355
"15","Flusight-baseline",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",29.7382274247492,1.4733150784229
"16","Flusight-baseline",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",11.7028344481605,1.06829106141367
"17","Flusight-baseline",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",27.9835451505017,1.44690273309255
"18","Flusight-baseline",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",11.5643394648829,1.06312083166358
"19","Flusight-baseline",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",18.8628762541806,1.27560791565891
"20","Flusight-baseline",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",12.6699247491639,1.10277403547382
"21","Flusight-baseline",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",19.8373662207358,1.29748401097691
"22","Flusight-baseline",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",9.91829431438127,0.996436991353283
"23","Flusight-baseline",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",25.0161036789298,1.39821966816667
"24","Flusight-baseline",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",11.9915050167224,1.07887369347742
"25","Flusight-baseline",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",25.6728260869565,1.40947367881613
"26","Flusight-baseline",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",8.55096989966555,0.932015377673569
"27","Flusight-baseline",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",31.5877006688963,1.4995180139028
"28","Flusight-baseline",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",10.5463127090301,1.02310064446489
"29","Flusight-baseline",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",24.0076086956522,1.38034890383033
"30","Flusight-baseline",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",9.99874581939799,0.999945528212579
"31","Flusight-baseline",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",21.4902759197324,1.33224199155696
"32","Flusight-baseline",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",7.21439799331104,0.858200097163252
"33","Flusight-baseline",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",19.8920568561873,1.29867969187796
"34","Flusight-baseline",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",24.7798411371237,1.39409851779906
"35","Flusight-baseline",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",21.725618729097,1.33697215367335
"36","Flusight-baseline",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",14.8907274247492,1.17291591392666
"37","Flusight-baseline",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",10.0826839464883,1.00357615393442
"38","Flusight-baseline",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",30.5823494983278,1.48547084716403
"39","Flusight-baseline",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",35.2417224080268,1.54705712601758
"40","Flusight-baseline",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",40.7175501672241,1.60978164013267
"41","Flusight-baseline",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",118.090284280936,2.07221416808982
"42","Flusight-baseline",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",55.9721739130435,1.74797217487357
"43","Flusight-baseline",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",154.336254180602,2.18846795549385
"44","Flusight-baseline",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",150.804397993311,2.17841400729221
"45","Flusight-baseline",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",275.403503344482,2.43996946051604
"46","Flusight-baseline",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",134.252023411371,2.12792083999372
"47","Flusight-baseline",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",361.697441471572,2.55834543671653
