"model","target_end_date","target","season","coverage50","coverage95","model_color"
"Flusight-baseline",2022-02-26,"1 wk ahead inc flu hosp","2021-2022",0.557692307692308,0.884615384615385,"red"
"Flusight-baseline",2022-03-05,"1 wk ahead inc flu hosp","2021-2022",0.442307692307692,0.903846153846154,"red"
"Flusight-baseline",2022-03-12,"1 wk ahead inc flu hosp","2021-2022",0.461538461538462,0.807692307692308,"red"
"Flusight-baseline",2022-03-19,"1 wk ahead inc flu hosp","2021-2022",0.461538461538462,0.807692307692308,"red"
"Flusight-baseline",2022-03-19,"4 wk ahead inc flu hosp","2021-2022",0.480769230769231,0.788461538461538,"red"
"Flusight-baseline",2022-03-26,"1 wk ahead inc flu hosp","2021-2022",0.326923076923077,0.711538461538462,"red"
"Flusight-baseline",2022-03-26,"4 wk ahead inc flu hosp","2021-2022",0.5,0.788461538461538,"red"
"Flusight-baseline",2022-04-02,"1 wk ahead inc flu hosp","2021-2022",0.480769230769231,0.711538461538462,"red"
"Flusight-baseline",2022-04-02,"4 wk ahead inc flu hosp","2021-2022",0.384615384615385,0.730769230769231,"red"
"Flusight-baseline",2022-04-09,"1 wk ahead inc flu hosp","2021-2022",0.423076923076923,0.711538461538462,"red"
"Flusight-baseline",2022-04-09,"4 wk ahead inc flu hosp","2021-2022",0.461538461538462,0.711538461538462,"red"
"Flusight-baseline",2022-04-16,"1 wk ahead inc flu hosp","2021-2022",0.442307692307692,0.788461538461538,"red"
"Flusight-baseline",2022-04-16,"4 wk ahead inc flu hosp","2021-2022",0.461538461538462,0.653846153846154,"red"
"Flusight-baseline",2022-04-23,"1 wk ahead inc flu hosp","2021-2022",0.423076923076923,0.75,"red"
"Flusight-baseline",2022-04-23,"4 wk ahead inc flu hosp","2021-2022",0.403846153846154,0.653846153846154,"red"
"Flusight-baseline",2022-04-30,"1 wk ahead inc flu hosp","2021-2022",0.403846153846154,0.846153846153846,"red"
"Flusight-baseline",2022-04-30,"4 wk ahead inc flu hosp","2021-2022",0.461538461538462,0.730769230769231,"red"
"Flusight-baseline",2022-05-07,"1 wk ahead inc flu hosp","2021-2022",0.384615384615385,0.807692307692308,"red"
"Flusight-baseline",2022-05-07,"4 wk ahead inc flu hosp","2021-2022",0.519230769230769,0.846153846153846,"red"
"Flusight-baseline",2022-05-14,"1 wk ahead inc flu hosp","2021-2022",0.403846153846154,0.769230769230769,"red"
"Flusight-baseline",2022-05-14,"4 wk ahead inc flu hosp","2021-2022",0.423076923076923,0.884615384615385,"red"
"Flusight-baseline",2022-05-21,"1 wk ahead inc flu hosp","2021-2022",0.480769230769231,0.846153846153846,"red"
"Flusight-baseline",2022-05-21,"4 wk ahead inc flu hosp","2021-2022",0.442307692307692,0.884615384615385,"red"
"Flusight-baseline",2022-05-28,"1 wk ahead inc flu hosp","2021-2022",0.365384615384615,0.807692307692308,"red"
"Flusight-baseline",2022-05-28,"4 wk ahead inc flu hosp","2021-2022",0.365384615384615,0.846153846153846,"red"
"Flusight-baseline",2022-06-04,"1 wk ahead inc flu hosp","2021-2022",0.538461538461538,0.903846153846154,"red"
"Flusight-baseline",2022-06-04,"4 wk ahead inc flu hosp","2021-2022",0.461538461538462,0.807692307692308,"red"
"Flusight-baseline",2022-06-11,"1 wk ahead inc flu hosp","2021-2022",0.442307692307692,0.903846153846154,"red"
"Flusight-baseline",2022-06-11,"4 wk ahead inc flu hosp","2021-2022",0.557692307692308,0.865384615384615,"red"
"Flusight-baseline",2022-06-18,"1 wk ahead inc flu hosp","2021-2022",0.519230769230769,0.903846153846154,"red"
"Flusight-baseline",2022-06-18,"4 wk ahead inc flu hosp","2021-2022",0.557692307692308,0.807692307692308,"red"
"Flusight-baseline",2022-06-25,"1 wk ahead inc flu hosp","2021-2022",0.653846153846154,0.942307692307692,"red"
"Flusight-baseline",2022-06-25,"4 wk ahead inc flu hosp","2021-2022",0.596153846153846,0.903846153846154,"red"
"Flusight-baseline",2022-07-02,"4 wk ahead inc flu hosp","2021-2022",0.557692307692308,0.923076923076923,"red"
"Flusight-baseline",2022-07-09,"4 wk ahead inc flu hosp","2021-2022",0.673076923076923,0.923076923076923,"red"
"Flusight-baseline",2022-07-16,"4 wk ahead inc flu hosp","2021-2022",0.769230769230769,0.942307692307692,"red"
"Flusight-baseline",2022-10-22,"1 wk ahead inc flu hosp","2022-2023",0.423076923076923,0.865384615384615,"red"
"Flusight-baseline",2022-10-29,"1 wk ahead inc flu hosp","2022-2023",0.153846153846154,0.596153846153846,"red"
"Flusight-baseline",2022-11-05,"1 wk ahead inc flu hosp","2022-2023",0.134615384615385,0.519230769230769,"red"
"Flusight-baseline",2022-11-12,"1 wk ahead inc flu hosp","2022-2023",0.115384615384615,0.596153846153846,"red"
"Flusight-baseline",2022-11-12,"4 wk ahead inc flu hosp","2022-2023",0.0769230769230769,0.346153846153846,"red"
"Flusight-baseline",2022-11-19,"1 wk ahead inc flu hosp","2022-2023",0.115384615384615,0.461538461538462,"red"
"Flusight-baseline",2022-11-19,"4 wk ahead inc flu hosp","2022-2023",0.0769230769230769,0.269230769230769,"red"
"Flusight-baseline",2022-11-26,"1 wk ahead inc flu hosp","2022-2023",0.0192307692307692,0.192307692307692,"red"
"Flusight-baseline",2022-11-26,"4 wk ahead inc flu hosp","2022-2023",0,0.0961538461538462,"red"
"Flusight-baseline",2022-12-03,"1 wk ahead inc flu hosp","2022-2023",0.0384615384615385,0.25,"red"
"Flusight-baseline",2022-12-03,"4 wk ahead inc flu hosp","2022-2023",0.0192307692307692,0.115384615384615,"red"
"Flusight-baseline",2022-12-10,"1 wk ahead inc flu hosp","2022-2023",0.0576923076923077,0.365384615384615,"red"
"Flusight-baseline",2022-12-10,"4 wk ahead inc flu hosp","2022-2023",0.0384615384615385,0.115384615384615,"red"
"Flusight-baseline",2022-12-17,"1 wk ahead inc flu hosp","2022-2023",0.0384615384615385,0.403846153846154,"red"
"Flusight-baseline",2022-12-17,"4 wk ahead inc flu hosp","2022-2023",0.0576923076923077,0.365384615384615,"red"
"Flusight-baseline",2022-12-24,"1 wk ahead inc flu hosp","2022-2023",0.0576923076923077,0.538461538461538,"red"
"Flusight-baseline",2022-12-24,"4 wk ahead inc flu hosp","2022-2023",0,0.403846153846154,"red"
"Flusight-baseline",2022-12-31,"1 wk ahead inc flu hosp","2022-2023",0.115384615384615,0.865384615384615,"red"
"Flusight-baseline",2022-12-31,"4 wk ahead inc flu hosp","2022-2023",0.0192307692307692,0.384615384615385,"red"
"Flusight-baseline",2023-01-07,"1 wk ahead inc flu hosp","2022-2023",0.0769230769230769,0.365384615384615,"red"
"Flusight-baseline",2023-01-07,"4 wk ahead inc flu hosp","2022-2023",0.0769230769230769,0.461538461538462,"red"
"Flusight-baseline",2023-01-14,"1 wk ahead inc flu hosp","2022-2023",0,0.384615384615385,"red"
