"Model","Absolute WIS","Relative WIS","Season"
"CMU-TimeSeries",0.31,0.78,"2021-2022"
"Flusight-ensemble",0.33,0.83,"2021-2022"
"PSI-DICE",0.33,0.84,"2021-2022"
"UMass-trends_ensemble",0.36,0.91,"2021-2022"
"SGroup-RandomForest",0.38,0.97,"2021-2022"
"CU-ensemble",0.39,0.98,"2021-2022"
"GT-FluFNP",0.38,0.98,"2021-2022"
"CEID-Walk",0.39,0.99,"2021-2022"
"Flusight-baseline",0.4,1,"2021-2022"
"SigSci-TSENS",0.4,1.01,"2021-2022"
"IEM_Health-FluProject",0.4,1.02,"2021-2022"
"LUcompUncertLab-TEVA",0.41,1.05,"2021-2022"
"LUcompUncertLab-VAR2_plusCOVID",0.42,1.08,"2021-2022"
"MOBS-GLEAM_FLUH",0.42,1.08,"2021-2022"
"UT_FluCast-Voltaire",0.45,1.14,"2021-2022"
"UVAFluX-Ensemble",0.45,1.14,"2021-2022"
"LUcompUncertLab-VAR2K_plusCOVID",0.47,1.2,"2021-2022"
"SGroup-SIkJalpha",0.49,1.24,"2021-2022"
"LUcompUncertLab-VAR2",0.53,1.35,"2021-2022"
"LUcompUncertLab-VAR2K",0.61,1.56,"2021-2022"
"LosAlamos_NAU-CModel_Flu",0.63,1.6,"2021-2022"
"GH-Flusight",0.74,1.88,"2021-2022"
"SigSci-CREG",0.8,2.03,"2021-2022"
"MOBS-GLEAM_FLUH",0.36,0.65,"2022-2023"
"MIGHTE-Nsemble",0.39,0.7,"2022-2023"
"PSI-DICE",0.4,0.7,"2022-2023"
"CMU-TimeSeries",0.4,0.71,"2022-2023"
"Flusight-ensemble",0.41,0.73,"2022-2023"
"UMass-trends_ensemble",0.47,0.83,"2022-2023"
"JHU_IDD-CovidSP",0.48,0.84,"2022-2023"
"CU-ensemble",0.5,0.86,"2022-2023"
"SGroup-RandomForest",0.49,0.87,"2022-2023"
"GT-FluFNP",0.52,0.89,"2022-2023"
"UNC_IDD-InfluPaint",0.49,0.92,"2022-2023"
"Flusight-baseline",0.57,1,"2022-2023"
"UVAFluX-Ensemble",0.58,1,"2022-2023"
"CEPH-Rtrend_fluH",0.55,1.02,"2022-2023"
"VTSanghani-ExogModel",0.59,1.03,"2022-2023"
"UGA_flucast-OKeeffe",0.61,1.07,"2022-2023"
"SigSci-CREG",0.62,1.11,"2022-2023"
"SigSci-TSENS",0.64,1.12,"2022-2023"
