"","location_name","wk_end_date","value"
"1","Alabama",2022-09-03,21
"2","Alabama",2022-09-10,11
"3","Alabama",2022-09-17,17
"4","Alabama",2022-09-24,20
"5","Alabama",2022-10-01,24
"6","Alabama",2022-10-08,41
"7","Alabama",2022-10-15,86
"8","Alabama",2022-10-22,141
"9","Alabama",2022-10-29,262
"10","Alabama",2022-11-05,360
"11","Alabama",2022-11-12,303
"12","Alabama",2022-11-19,226
"13","Alabama",2022-11-26,261
"14","Alabama",2022-12-03,351
"15","Alabama",2022-12-10,223
"16","Alabama",2022-12-17,142
"17","Alabama",2022-12-24,122
"18","Alabama",2022-12-31,127
"19","Alabama",2023-01-07,123
"20","Alaska",2022-09-03,0
"21","Alaska",2022-09-10,5
"22","Alaska",2022-09-17,0
"23","Alaska",2022-09-24,0
"24","Alaska",2022-10-01,2
"25","Alaska",2022-10-08,3
"26","Alaska",2022-10-15,2
"27","Alaska",2022-10-22,3
"28","Alaska",2022-10-29,14
"29","Alaska",2022-11-05,10
"30","Alaska",2022-11-12,20
"31","Alaska",2022-11-19,38
"32","Alaska",2022-11-26,66
"33","Alaska",2022-12-03,58
"34","Alaska",2022-12-10,77
"35","Alaska",2022-12-17,50
"36","Alaska",2022-12-24,44
"37","Alaska",2022-12-31,56
"38","Alaska",2023-01-07,32
"39","Arizona",2022-09-03,16
"40","Arizona",2022-09-10,5
"41","Arizona",2022-09-17,7
"42","Arizona",2022-09-24,9
"43","Arizona",2022-10-01,10
"44","Arizona",2022-10-08,18
"45","Arizona",2022-10-15,14
"46","Arizona",2022-10-22,22
"47","Arizona",2022-10-29,34
"48","Arizona",2022-11-05,84
"49","Arizona",2022-11-12,153
"50","Arizona",2022-11-19,339
"51","Arizona",2022-11-26,612
"52","Arizona",2022-12-03,821
"53","Arizona",2022-12-10,759
"54","Arizona",2022-12-17,551
"55","Arizona",2022-12-24,579
"56","Arizona",2022-12-31,633
"57","Arizona",2023-01-07,338
"58","Arkansas",2022-09-03,8
"59","Arkansas",2022-09-10,6
"60","Arkansas",2022-09-17,4
"61","Arkansas",2022-09-24,8
"62","Arkansas",2022-10-01,10
"63","Arkansas",2022-10-08,21
"64","Arkansas",2022-10-15,40
"65","Arkansas",2022-10-22,50
"66","Arkansas",2022-10-29,84
"67","Arkansas",2022-11-05,141
"68","Arkansas",2022-11-12,212
"69","Arkansas",2022-11-19,218
"70","Arkansas",2022-11-26,435
"71","Arkansas",2022-12-03,468
"72","Arkansas",2022-12-10,331
"73","Arkansas",2022-12-17,234
"74","Arkansas",2022-12-24,178
"75","Arkansas",2022-12-31,214
"76","Arkansas",2023-01-07,143
"77","California",2022-09-03,35
"78","California",2022-09-10,29
"79","California",2022-09-17,24
